x,y,z,r,p,y,t
0,0,0,0.0053190086036920547485,-0.017028355970978736877,0.52136713266372680664,1764926290.413194418
0.46706193685531616211,0.23712582886219024658,0.0079218605533242225647,0.0090150004252791404724,-0.017103977501392364502,0.31847789883613586426,1764926303.4128069878
1.4643164873123168945,0.55232423543930053711,0.027151191607117652893,0.0073723895475268363953,-0.030737133696675300598,0.36592262983322143555,1764926305.61211133
1.9920569658279418945,0.79821920394897460938,0.037202697247266769409,0.0023795417509973049164,-0.027653103694319725037,0.57209944725036621094,1764926306.8118684292
2.8074986934661865234,1.4342054128646850586,0.088639363646507263184,-0.005947298835963010788,-0.037689335644245147705,0.70367634296417236328,1764926309.0114045143
3.6115102767944335938,2.1419768333435058594,0.17557035386562347412,-0.016970375552773475647,-0.063278727233409881592,0.65102398395538330078,1764926312.012346983
4.5442519187927246094,2.3911147117614746094,0.31446695327758789062,0.025266392156481742859,-0.080189228057861328125,0.43381223082542419434,1764926314.6110408306
4.7954578399658203125,2.4750812053680419922,0.32735601067543029785,0.040933381766080856323,-0.075945816934108734131,0.20386014878749847412,1764926315.4111125469
4.935436248779296875,2.4984409809112548828,0.3304837644100189209,0.062847785651683807373,-0.060114156454801559448,-0.13090299069881439209,1764926316.0111336708
4.9876041412353515625,2.4950995445251464844,0.34423369169235229492,0.083042927086353302002,-0.035675294697284698486,-0.4575424492359161377,1764926316.4112286568
5.0589442253112792969,2.4563868045806884766,0.34612876176834106445,0.091235488653182983398,-0.011352298781275749207,-0.73942387104034423828,1764926316.8101758957
5.1247410774230957031,2.4002053737640380859,0.34461256861686706543,0.091585993766784667969,0.012347229756414890289,-0.99095809459686279297,1764926317.2101426125
5.3645792007446289062,1.8887629508972167969,0.32398587465286254883,0.077398076653480529785,0.029783617705106735229,-1.1959513425827026367,1764926319.0098154545
