lat,lon,height,r,p,y,t
0,1.0530658811790497143e-10,0,0.0053190086036920547485,-0.017028355970978736877,0.52136713266372680664,1764926290.413194418
2.1423918087374560562e-06,4.1916818831487598029e-06,0.0079218605533242225647,0.0090150004252791404724,-0.017103977501392364502,0.31847789883613586426,1764926303.4128069878
4.9901562103221870479e-06,1.3141391778759579028e-05,0.027151191607117652893,0.0073723895475268363953,-0.030737133696675300598,0.36592262983322143555,1764926305.61211133
7.2117757642637337617e-06,1.7877518781195019789e-05,0.037202697247266769409,0.0023795417509973049164,-0.027653103694319725037,0.57209944725036621094,1764926306.8118684292
1.2957803891468988252e-05,2.5195577080944806474e-05,0.088639363646507263184,-0.005947298835963010788,-0.037689335644245147705,0.70367634296417236328,1764926309.0114045143
1.9352399371799408454e-05,3.2411057288872544382e-05,0.17557035386562347412,-0.016970375552773475647,-0.063278727233409881592,0.65102398395538330078,1764926312.012346983
2.1603318244228424474e-05,4.07818060418052835e-05,0.31446695327758789062,0.025266392156481742859,-0.080189228057861328125,0.43381223082542419434,1764926314.6110408306
2.2361941402421208505e-05,4.3036215584073805711e-05,0.32735601067543029785,0.040933381766080856323,-0.075945816934108734131,0.20386014878749847412,1764926315.4111125469
2.2572993062208437178e-05,4.4292430646611750131e-05,0.3304837644100189209,0.062847785651683807373,-0.060114156454801559448,-0.13090299069881439209,1764926316.0111336708
2.2542803757495522265e-05,4.476060351185953115e-05,0.34423369169235229492,0.083042927086353302002,-0.035675294697284698486,-0.4575424492359161377,1764926316.4112286568
2.2193040691428060239e-05,4.5400834318116383272e-05,0.34612876176834106445,0.091235488653182983398,-0.011352298781275749207,-0.73942387104034423828,1764926316.8101758957
2.1685450946634190382e-05,4.5991318231873260663e-05,0.34461256861686706543,0.091585993766784667969,0.012347229756414890289,-0.99095809459686279297,1764926317.2101426125
1.706465490428071282e-05,4.8143709297050465902e-05,0.32398587465286254883,0.077398076653480529785,0.029783617705106735229,-1.1959513425827026367,1764926319.0098154545
